record_id,year,pmid,doi,source,chars,title
2732,2016,,10.1093/jjco/hyw119,manual-pdf,2594,Incidence rate for breast cancer in Japanese in Japan and in the United States from the Cancer Incidence in Five Contine
2796,2015,26375877,10.3322/caac.21314,manual-pdf,117522,"Cancer statistics for Hispanics/Latinos, 2015"
2843,2015,25559415,10.3322/caac.21254,manual-pdf,101815,"Cancer statistics, 2015"
2917,2014,24114568,10.3322/caac.21203,manual-pdf,51289,"Breast cancer statistics, 2013"
2989,2013,23386565,10.3322/caac.21173,manual-pdf,76429,"Cancer statistics for African Americans, 2013"
3116,2011,,10.1089/jwh.2010.2082,unavailable,0,"Time trends and racial differences in female breast cancer incidence in Pennsylvania, 1985-2004"
3182,2009,19661072,10.1158/1055-9965.epi-09-0329,manual-pdf,46434,"Cancer incidence in first generation U.S. Hispanics: Cubans, Mexicans, Puerto Ricans, and New Latinos"
3186,2009,,10.1016/s1043-321x(09)79313-0,manual-pdf,61585,Age-Related Crossover in Breast Cancer Incidence Rates between Black and White Women: Implications for Removing Racial D
3188,2009,19474385,10.3322/caac.20006,manual-pdf,90562,"Cancer statistics, 2009"
3212,2009,19109819,10.1002/cncr.24039,manual-pdf,34457,Fifty years of cancer in an American Indian population
3228,2008,18696716,10.1002/cncr.23686,manual-pdf,40070,"Cancer health disparities among Indian and Pakistani immigrants in the United States a Surveillance, Epidemiology, and E"
3230,2008,18720386,10.1002/cncr.23731,manual-pdf,68922,"Cancer in American Indian and Alaska Native Young Adults (Ages 20-44 Years): US, 1999-2004"
3243,2008,18287387,10.3322/ca.2007.0010,manual-pdf,69695,"Cancer statistics, 2008"
3247,2008,18094016,10.1093/ije/dym219,manual-pdf,51165,"Cancer incidence rates among South Asians in four geographic regions: India, Singapore, UK and US"
3267,2007,17654663,10.1002/cncr.22914,manual-pdf,25991,"Cambodian cancer incidence rates in California and Washington, 1998-2002"
3268,2007,17844709,,unavailable,0,Improving cancer incidence estimates for American Indians in Wisconsin
3275,2007,18159978,,manual-pdf,34672,"Cancer incidence in the Middle Eastern population of California, 1988-2004."
3288,2007,17242674,10.1177/107327480701400111,manual-pdf,43944,Cancer incidence among Korean-American immigrants in the United States and native Koreans in South Korea
3298,2006,16933057,10.1007/s10552-006-0045-3,manual-pdf,37036,"Patterns of cancer incidence among US Hispanics/Latinos, 1995-2000"
3322,2005,,10.1186/1477-3163-4-21,manual-pdf,55581,"Cancer incidence in the South Asian population of California, 1988-2000"
3345,2005,15661684,10.3322/canjclin.55.1.10,manual-pdf,63290,"Cancer statistics, 2005"
3360,2004,15328946,,manual-pdf,35798,The effect of migration on cancer incidence among Japanese in Hawaii
3369,2004,14997057,10.1023/b:brea.0000010701.08825.2d,manual-pdf,29687,Is male breast cancer similar or different than female breast cancer?
3373,2004,14974761,10.3322/canjclin.54.1.8,MISSING,0,"Cancer Statistics, 2004"
3394,2003,12784344,10.1002/cncr.11443,manual-pdf,15740,Cancer in the Minnesota Hmong population
3398,2003,12749722,10.1023/a:1023046121214,manual-pdf,34717,"Cancer incidence patterns in Koreans in the US and in Kangwha, South Korea"
3429,2002,11814064,10.3322/canjclin.52.1.23,MISSING,0,"Cancer statistics, 2002"
3522,2024,,10.1002/cncr.35026,MISSING,0,"Annual Report to the Nation on the Status of Cancer, part 2: Early assessment of the COVID-19 pandemic’s impact on cance"
3640,2022,,10.1089/heq.2021.0041,manual-pdf,39280,Structural Racism and Triple-Negative Breast Cancer among Black and White Women in the United States
3662,2021,,10.1093/aje/kwaa222,manual-pdf,44438,Incidence of and Trends in the Leading Cancers with Elevated Incidence among American Indian and Alaska Native Populatio
